You are writing notes for a sports show based on the current week in the Curry Up football league. I have a table containing the names and statistics for football players for the category of rushing for the current week in a league.
Please analyze the dataframe and provide the following information in bullet points:
    Interesting points or trends observed in the category's statistics.
    Top performers in the category.
Include the statistics in your response.
Here is the dataframe:
     rush20PlusYds  rushAtt  rushBrokenTackles  rushFum  rushLongest  rushTDs  rushYds  rushYdsAfterContact  rushYdsPerAtt  rushYdsPerGame               playerName
           0.0      3.0                0.0      0.0         13.0      0.0     14.0                  5.0        4.66667        9.333330               Will Levis
           0.0      4.0                0.0      2.0          7.0      0.0     13.0                  3.0        3.25000       23.777800                Mike Vick
           0.0      3.0                1.0      0.0         11.0      0.0     11.0                  1.0        3.66667       53.444400              Breece Hall
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000       -0.250000            Brandon Aiyuk
           0.0      3.0                0.0      0.0          6.0      1.0      5.0                  3.0        1.66667       17.375000              Sam Darnold
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.875000          Diontae Johnson
           0.0      7.0                3.0      0.0         14.0      0.0     20.0                 13.0        2.85714       36.125000              Aaron Jones
           0.0      2.0                0.0      0.0         18.0      0.0     14.0                  1.0        7.00000       12.375000               Josh Allen
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000           Rashod Bateman
           0.0     10.0                1.0      0.0         13.0      1.0     31.0                 17.0        3.10000       74.375000            Isiah Pacheco
           0.0      0.0                2.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000           Darius Slayton
           0.0      3.0                0.0      0.0          0.0      0.0     -7.0                  2.0       -2.33333        2.125000           Garrett Wilson
